--- Roles and Permissions ---
Role: Client | Perm: Get Categories By Company (categories.getCategoriesByCompany) | Module: Categories
Role: Client | Perm: Get Category By Id (categories.getCategoryById) | Module: Categories
Role: Client | Perm: Get Main Categories (categories.getMainCategories) | Module: Categories
Role: Client | Perm: Get Public Categories (categories.getPublicCategories) | Module: Categories
Role: Client | Perm: Create Comment (comments.createComment) | Module: Comments
Role: Client | Perm: Delete Comment (comments.deleteComment) | Module: Comments
Role: Client | Perm: Get Comments (comments.getComments) | Module: Comments
Role: Client | Perm: Update Comment (comments.updateComment) | Module: Comments
Role: Client | Perm: Get All Events (events.getAllEvents) | Module: Events
Role: Client | Perm: Get Available Items (events.getAvailableItems) | Module: Events
Role: Client | Perm: Get F A Q (faq.getFAQ) | Module: Faq
Role: Client | Perm: Get Public F A Qs (faq.getPublicFAQs) | Module: Faq
Role: Client | Perm: Get Faq Sections (faq-sections.getFaqSections) | Module: Faq Sections
Role: Client | Perm: Get Home Page Data (home.getHomePageData) | Module: Home
Role: Client | Perm: Get Reactions (interactions.getReactions) | Module: Interactions
Role: Client | Perm: Get User History (interactions.getUserHistory) | Module: Interactions
Role: Client | Perm: Rate Target (interactions.rateTarget) | Module: Interactions
Role: Client | Perm: Toggle Dislike (interactions.toggleDislike) | Module: Interactions
Role: Client | Perm: Toggle Favorite (interactions.toggleFavorite) | Module: Interactions
Role: Client | Perm: Toggle Like (interactions.toggleLike) | Module: Interactions
Role: Client | Perm: Create Public Item Interaction (items.createPublicItemInteraction) | Module: Items
Role: Client | Perm: Get Category Filters (items.getCategoryFilters) | Module: Items
Role: Client | Perm: Get Interaction Stats (items.getInteractionStats) | Module: Items
Role: Client | Perm: Get Public Item By Id (items.getPublicItemById) | Module: Items
Role: Client | Perm: Get Public Items (items.getPublicItems) | Module: Items
Role: Client | Perm: Track Item Share (items.trackItemShare) | Module: Items
Role: Client | Perm: Get All Countries (locations.getAllCountries) | Module: Locations
